test_date,county,new_positives,cumulative_number_of_positives,total_number_of_tests,cumulative_number_of_tests,test_positive,geography
2022-10-03T00:00:00.000,Schenectady,22,40664,203,819196,16.94%,COUNTY
2022-10-03T00:00:00.000,Schoharie,3,6084,42,118586,7.50%,COUNTY
2022-10-03T00:00:00.000,Schuyler,3,4095,111,96813,1.87%,COUNTY
2022-10-03T00:00:00.000,Seneca,3,7052,47,135764,6.82%,COUNTY
2022-10-03T00:00:00.000,Southern Tier,101,165182,1169,5895468,8.86%,REGION
2022-10-03T00:00:00.000,St. Lawrence,9,24839,101,611147,5.32%,COUNTY
2022-10-03T00:00:00.000,Steuben,19,23621,98,466859,17.78%,COUNTY
2022-10-03T00:00:00.000,Suffolk,249,516084,3100,8278640,6.56%,COUNTY
2022-10-03T00:00:00.000,Sullivan,19,22333,162,364635,9.42%,COUNTY
2022-10-03T00:00:00.000,Tioga,8,13044,63,228020,11.86%,COUNTY
2022-10-03T00:00:00.000,Tompkins,13,24742,166,3050691,7.98%,COUNTY
2022-10-03T00:00:00.000,Ulster,13,39327,254,849518,4.42%,COUNTY
2022-10-03T00:00:00.000,Warren,11,17297,78,329065,17.39%,COUNTY
2022-10-03T00:00:00.000,Washington,13,14582,77,280102,16.13%,COUNTY
2022-10-03T00:00:00.000,Wayne,8,20385,122,372129,6.36%,COUNTY
2022-10-03T00:00:00.000,Westchester,142,306254,1796,5728681,7.04%,COUNTY
2022-10-03T00:00:00.000,Western New York,191,364749,2012,6113458,9.10%,REGION
2022-10-03T00:00:00.000,Wyoming,6,9418,44,155005,12.20%,COUNTY
2022-10-03T00:00:00.000,Yates,2,4137,19,88960,5.56%,COUNTY
2022-10-02T00:00:00.000,Albany,40,73031,480,1375397,7.68%,COUNTY
2022-10-02T00:00:00.000,Allegany,7,10188,75,244807,9.46%,COUNTY
2022-10-02T00:00:00.000,Bronx,142,465438,2739,8622412,4.22%,COUNTY
2022-10-02T00:00:00.000,Broome,21,54347,242,1155989,8.40%,COUNTY
2022-10-02T00:00:00.000,Capital Region,187,264558,2044,5144405,8.32%,REGION
2022-10-02T00:00:00.000,Cattaraugus,4,18139,81,301417,5.26%,COUNTY
2022-10-02T00:00:00.000,Cayuga,11,19044,126,385922,9.02%,COUNTY
2022-10-02T00:00:00.000,Central New York,133,213586,1252,4315477,10.13%,REGION
2022-10-02T00:00:00.000,Chautauqua,19,27623,126,522106,15.08%,COUNTY
2022-10-02T00:00:00.000,Chemung,9,24817,112,469310,8.33%,COUNTY
2022-10-02T00:00:00.000,Chenango,5,11043,60,231664,8.77%,COUNTY
2022-10-02T00:00:00.000,Clinton,17,20762,120,398096,13.51%,COUNTY
2022-10-02T00:00:00.000,Columbia,5,12685,68,249434,8.20%,COUNTY
2022-10-02T00:00:00.000,Cortland,4,12517,50,300999,8.00%,COUNTY
2022-10-02T00:00:00.000,Delaware,5,9415,64,195391,6.56%,COUNTY
2022-10-02T00:00:00.000,Dutchess,31,77378,344,1453009,8.36%,COUNTY
2022-10-02T00:00:00.000,Erie,126,252478,1239,4154077,9.31%,COUNTY
2022-10-02T00:00:00.000,Essex,3,7070,51,161554,4.55%,COUNTY
2022-10-02T00:00:00.000,Finger Lakes,176,283497,2180,5492877,8.31%,REGION
2022-10-02T00:00:00.000,Franklin,14,11307,90,212743,15.73%,COUNTY
2022-10-02T00:00:00.000,Fulton,17,15395,102,224021,16.83%,COUNTY
2022-10-02T00:00:00.000,Genesee,9,15572,117,267684,7.69%,COUNTY
2022-10-02T00:00:00.000,Greene,2,10155,36,178413,5.56%,COUNTY
2022-10-02T00:00:00.000,Hamilton,0,1014,9,19851,0.00%,COUNTY
2022-10-02T00:00:00.000,Herkimer,4,16385,64,317604,7.69%,COUNTY
2022-10-02T00:00:00.000,Jefferson,23,24654,153,394596,10.00%,COUNTY
2022-10-02T00:00:00.000,Kings,281,833986,6843,18210092,3.24%,COUNTY
2022-10-02T00:00:00.000,Lewis,1,6920,25,102023,0.00%,COUNTY
2022-10-02T00:00:00.000,Livingston,16,13481,97,279849,16.84%,COUNTY
2022-10-02T00:00:00.000,Long Island,501,1014538,6022,16459618,7.12%,REGION
2022-10-02T00:00:00.000,Madison,6,15715,99,365105,6.12%,COUNTY
2022-10-02T00:00:00.000,Mid-Hudson,295,710122,3775,13074624,6.94%,REGION
2022-10-02T00:00:00.000,Mohawk Valley,79,128804,813,2680908,10.80%,REGION
2022-10-02T00:00:00.000,Monroe,98,179437,1307,3570499,7.56%,COUNTY
2022-10-02T00:00:00.000,Montgomery,11,14056,75,218856,14.86%,COUNTY
2022-10-02T00:00:00.000,Nassau,219,498703,2806,8184078,6.81%,COUNTY
